날짜,종가,거래량
2021-08-02,43900.0,491155.0
2021-08-03,43850.0,460948.0
2021-08-04,44050.0,376383.0
2021-08-05,43700.0,295712.0
2021-08-06,43450.0,343693.0
2021-08-09,42600.0,523303.0
2021-08-10,42050.0,521260.0
2021-08-11,42150.0,396758.0
2021-08-12,42350.0,477966.0
2021-08-13,41750.0,527446.0
2021-08-17,40400.0,609886.0
2021-08-18,40950.0,354696.0
2021-08-19,39200.0,584004.0
2021-08-20,38500.0,496456.0
2021-08-23,38900.0,408149.0
2021-08-24,40700.0,520634.0
2021-08-25,40950.0,458544.0
2021-08-26,40550.0,415158.0
2021-08-27,40900.0,534911.0
2021-08-30,43700.0,1809128.0
2021-08-31,44750.0,1219827.0
2021-09-01,44650.0,543349.0
2021-09-02,44750.0,536880.0
2021-09-03,45250.0,704737.0
2021-09-06,45400.0,689670.0
2021-09-07,45850.0,500949.0
2021-09-08,44800.0,777007.0
2021-09-09,44200.0,665619.0
2021-09-10,45000.0,551039.0
2021-09-13,44500.0,511693.0
2021-09-14,44750.0,558870.0
2021-09-15,45000.0,591353.0
2021-09-16,46100.0,1342253.0
2021-09-17,46150.0,747169.0
2021-09-23,44950.0,645554.0
2021-09-24,44400.0,548438.0
2021-09-27,44150.0,467956.0
2021-09-28,43250.0,510776.0
2021-09-29,42450.0,579097.0
2021-09-30,42750.0,356835.0
2021-10-01,41550.0,428832.0
2021-10-05,41550.0,488570.0
2021-10-06,40200.0,642424.0
2021-10-07,41750.0,480224.0
2021-10-08,40950.0,453828.0
2021-10-12,40950.0,406190.0
2021-10-13,41600.0,351181.0
2021-10-14,41950.0,614194.0
2021-10-15,42500.0,348049.0
2021-10-18,41650.0,492232.0
2021-10-19,41650.0,316026.0
2021-10-20,41150.0,356196.0
2021-10-21,41600.0,465647.0
2021-10-22,41250.0,352111.0
2021-10-25,41600.0,242418.0
2021-10-26,42350.0,429591.0
2021-10-27,41400.0,523612.0
2021-10-28,41250.0,896030.0
2021-10-29,41350.0,419899.0
2021-11-01,41850.0,344003.0
2021-11-02,42800.0,422656.0
2021-11-03,42450.0,319117.0
2021-11-04,42150.0,478360.0
2021-11-05,41700.0,587562.0
2021-11-08,42150.0,324214.0
2021-11-09,41900.0,339023.0
2021-11-10,41150.0,558566.0
2021-11-11,39850.0,779533.0
2021-11-12,41100.0,443142.0
2021-11-15,42100.0,352807.0
2021-11-16,41600.0,315684.0
2021-11-17,40350.0,427701.0
2021-11-18,40400.0,211611.0
2021-11-19,40100.0,360556.0
2021-11-22,40300.0,431192.0
2021-11-23,39550.0,373837.0
2021-11-24,39500.0,330255.0
2021-11-25,39050.0,317337.0
2021-11-26,38450.0,337550.0
2021-11-29,37650.0,393981.0
2021-11-30,36700.0,625000.0
2021-12-01,37600.0,466610.0
2021-12-02,39100.0,413554.0
2021-12-03,39650.0,335817.0
2021-12-06,40350.0,535725.0
2021-12-07,40950.0,313824.0
2021-12-08,41000.0,363559.0
2021-12-09,40800.0,431101.0
2021-12-10,41000.0,254718.0
2021-12-13,41100.0,243779.0
2021-12-14,41100.0,293076.0
2021-12-15,41500.0,342069.0
2021-12-16,41550.0,238953.0
2021-12-17,41850.0,292579.0
2021-12-20,41100.0,212457.0
2021-12-21,41400.0,273279.0
2021-12-22,41400.0,222789.0
2021-12-23,41400.0,305174.0
2021-12-24,41800.0,224620.0
2021-12-27,41250.0,327770.0
2021-12-28,41350.0,493289.0
2021-12-29,40500.0,482264.0
2021-12-30,39600.0,510104.0
2022-01-03,40050.0,272913.0
2022-01-04,41500.0,501580.0
2022-01-05,42700.0,1059738.0
2022-01-06,43750.0,1069284.0
2022-01-07,44350.0,869943.0
2022-01-10,44350.0,658017.0
2022-01-11,43850.0,652084.0
2022-01-12,43850.0,747879.0
2022-01-13,44500.0,828327.0
2022-01-14,43000.0,602460.0
2022-01-17,42800.0,363682.0
2022-01-18,40400.0,2004702.0
2022-01-19,40700.0,709989.0
2022-01-20,41200.0,548412.0
2022-01-21,39850.0,943278.0
2022-01-24,40000.0,767204.0
2022-01-25,39050.0,504514.0
2022-01-26,38650.0,329775.0
2022-01-27,37100.0,781786.0
2022-01-28,39250.0,649859.0
2022-02-03,39250.0,459431.0
2022-02-04,40650.0,579329.0
2022-02-07,39450.0,543967.0
2022-02-08,39350.0,475501.0
2022-02-09,40400.0,338734.0
2022-02-10,40550.0,443024.0
2022-02-11,39400.0,379238.0
2022-02-14,38450.0,463469.0
2022-02-15,38350.0,413742.0
2022-02-16,38900.0,259619.0
2022-02-17,39250.0,497925.0
