날짜,종가,거래량
2023-09-06,14410.0,854510.0
2023-09-07,14250.0,437560.0
2023-09-08,14400.0,343165.0
2023-09-11,14660.0,675671.0
2023-09-12,14380.0,498965.0
2023-09-13,14590.0,440945.0
2023-09-14,14630.0,714260.0
2023-09-15,14840.0,1006415.0
2023-09-18,14670.0,502278.0
2023-09-19,14720.0,324269.0
2023-09-20,14710.0,313416.0
2023-09-21,14420.0,579884.0
2023-09-22,14210.0,506075.0
2023-09-25,14160.0,471306.0
2023-09-26,13800.0,926448.0
2023-09-27,14030.0,429980.0
